"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2"
"TunBirths",1,0.902466268854828,1.10246627479077,1,0,383.97041629246,383.97041629246
"TunMubt",1,0.902466268854828,1.10246627479077,1,0,383.97041629246,383.97041629246
"muIp",0.05,0.00740650391140895,0.132406478506776,1,1,2.29251782487466,45.8503564974931
"muTbH",0.2,0.0781354562318912,0.378135462064645,1,1,6.656098457553,33.280492287765
"TunmuTbAg",0.5,0.244797282612496,0.844797750118084,1,1,10.4965770048468,20.9931540096935
"muH1",0.01,0.00148129988482694,0.0264812999341684,1,1,2.29251682170984,229.251682170984
"muH2",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751
"RRmuHR",3.4,2.263717279671,4.76371746795422,1,1,28.2456243769459,8.30753658145466
"ImmigVol",1,0.489595619682215,1.68959353626935,1,1,10.4966306782438,10.4966306782438
"ImmigVolFut",0,-0.00999963225103438,0.00999963225103438,2,0,0,0.00510194693877551
"ImDxChng",1,0.390677339671417,1.89067718006587,1,1,6.65610017569801,6.65610017569801
"RRtbprev",1,0.0393614070050551,3.45933851819034,1,1,1.16318640739742,1.16318640739742
"LtbiPar1",0.2,0.0781354562318912,0.378135462064645,1,1,6.656098457553,33.280492287765
"LtbiPar2",0.5,0.244797282612496,0.844797750118084,1,1,10.4965770048468,20.9931540096935
"pImAct",0.25,0.0876008007873541,0.462600798421813,0,1,4.69029899456269,14.0708969836881
"TunLtbiTrend",0.6,0.15147404404188,1.35147415051703,1,1,3.67092474425916,6.11820790709861
"ImmigPrevFutLat",0.98,0.955020505124432,0.995020703069375,0,0,175.230555391562,3.57613378350126
"ImmigPrevFutAct",0.98,0.955020505124432,0.995020703069375,0,0,175.230555391562,3.57613378350126
"ExogInf",5e-05,1.51889937561833e-05,0.000105173994019967,1,1,4.57235266396859,91447.0532793717
"rEmmigF1",0.05,0.0319808778777894,0.0719808791526497,1,1,23.8341859699779,476.683719399557
"rEmmigF2",0.003,0.00208243082210859,0.00408243082861735,1,1,34.3980235734778,11466.0078578259
"pHR",0.005,0.00195050540541324,0.00945050540915038,0,1,6.61748158531679,1316.87883547804
"CR",10,5.62043282918037,15.6205179801523,1,1,15.1909880914277,1.51909880914277
"Early0",0.5,0.151849609729109,1.05184909322144,1,1,4.57077853849549,9.14155707699098
"RelCrHr",3,1.68613729827121,4.68614298421087,1,1,15.1911915120755,5.06373050402516
"sigmaHr",0.5,0.100000903732354,0.899999096267646,0,1,2.09345386418047,2.09345386418047
"sigmaFb",0.5,0.100000903732354,0.899999096267646,0,1,2.09345386418047,2.09345386418047
"pfast",0.064,0.00356154664554504,0.200561434137017,0,1,1.30367428560666,19.0662364269974
"ORpfast1",2.5,0.814278951047614,5.11428393325263,1,1,5.0217666599857,2.00870666399428
"ORpfast2",0.5,0.180172945417204,0.980172706932455,1,1,5.82953182374528,11.6590636474906
"ORpfastH",10,3.90679377013275,18.9067264461364,1,1,6.65616000051564,0.665616000051564
"ORpfastPI",0.21,0.0805002630073841,0.400500405009763,1,1,6.44443897597251,30.6878046474881
"rslow",0.00067,5.72411595237725e-05,0.00201728815923528,1,1,1.63532386591319,2440.78188942267
"rslowH",0.042,0.0073283675544192,0.106328379374509,1,1,2.598021860188,61.8576633378095
"rrSlowFB",1.2,0.962856677011194,1.46285668283018,1,1,88.3318739032969,73.609894919414
"TunrslowAge",0.2,0.0944580714432073,0.344458055788838,1,1,9.66014644407562,48.3007322203781
"rfast",0.55,0.189400069144073,1.09940016961012,1,1,5.44054121974342,9.89189312680622
"rRecov",0.03,0.0102259925626888,0.0602259901990675,1,1,5.35925227540648,178.641742513549
"rSlfCur",0.2,0.112409304243058,0.312409280695208,1,1,15.1912533723631,75.9562668618154
"rLtScr",0.025,0.000713006400419284,0.0907130151654786,1,1,1.03924175783412,41.569670313365
"SensLt",0.8,0.753117049172752,0.843117069669943,0,1,241.362071260738,60.3405178151845
"SpecLt",0.975,0.964033644842599,0.984033636413942,0,1,905.247136675373,23.2114650429583
"rrTestHr",3,1.17202217418375,5.67205345649799,1,1,6.65600381529644,2.21866793843215
"rrTestLrNoTb",0.2,0.0781354562318912,0.378135462064645,1,1,6.656098457553,33.280492287765
"pDefLt",0.33,0.290608403041522,0.370608402988645,0,1,174.677682923762,354.648628966425
"EffLt",0.9,0.812226496678527,0.962226410801996,0,1,52.9149215035017,5.8794357226113
"SensSn",0.95,0.895212711622806,0.985212649240387,0,1,81.4700942238213,4.2878996959906
"SensSp",0.995,0.98948527418154,0.998485266023881,0,1,903.980053691377,4.54261333513255
"pImmScen",0.5,0.250000191788679,0.749999808211321,0,1,6.91594090844384,6.91594090844384
"DelaySn",1.5,0.999901602362379,2.09990077999288,1,1,28.3978540623895,18.9319027082596
"Dx1",0,-0.999963250102979,0.999963250102978,2,1,0,0.510194706632653
"Dx2",0,-0.999963250102979,0.999963250102978,2,1,0,0.510194706632653
"Dx3",0,-0.999963250102979,0.999963250102978,2,1,0,0.510194706632653
"Dx4",0,-0.999963250102979,0.999963250102978,2,1,0,0.510194706632653
"Dx5",0,-0.999963250102979,0.999963250102978,2,1,0,0.510194706632653
"rrDxH",3,2.08243038570204,4.08243143792765,1,1,34.3979874202096,11.4659958067365
"TunRRdxAge",1,0.390677339671417,1.89067718006587,1,1,6.65610017569801,6.65610017569801
"pDst",0.8,0.690489804567924,0.890489736646553,0,1,47.7010871891992,11.9252717972998
"TunTxMort",0.5,0.200000469717977,0.799999530282023,0,1,4.53737810305259,4.53737810305259
