"","BcValue","Lower","Upper","B0_G1_N2","Calib","Par1","Par2","TransMean"
"TunBirths",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708,0
"TunMubt",1,0.902466270280804,1.10246627321678,1,0,383.970427816708,383.970427816708,0
"RRmuIn",0.5,0.28102327626157,0.781023175660885,1,1,15.1912559371283,30.3825118742567,-0.693147180559945
"muIp",0.05,0.00740650163654984,0.132406489236065,1,1,2.2925173163123,45.850346326246,-2.99573227355399
"muTbH",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341
"TunmuHvAg",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405
"TunmuTbAg",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495335,-0.693147180559945
"muH1",0.01,0.00148129988482694,0.0264812999341684,1,1,2.29251682170984,229.251682170984,-4.60517018598809
"muH2",0.1,0.0390677289266818,0.189067729227489,1,1,6.65609869561751,66.5609869561751,-2.30258509299405
"muT2",0.01,0.00148129988482694,0.0264812999341684,1,1,2.29251682170984,229.251682170984,-4.60517018598809
"RRmuHR",3.4,2.26371731808846,4.76371741237333,1,1,28.2456265141042,8.30753721003063,1.22377543162212
"ImmigVol",1,0.489595255730257,1.68959421414338,1,1,10.4966121525241,10.4966121525241,0
"ImmigVolFut",0,-0.00999981624765334,0.00999981624765334,2,0,0,0.00510204081632653,0
"ImDxChng",1,0.39067731487474,1.8906772352674,1,1,6.65609944756843,6.65609944756843,0
"RRtbprev",1,0.0393606301228821,3.45934916258003,1,1,1.16317788633529,1.16317788633529,0
"LtbiPar1",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341
"LtbiPar2",0.5,0.24479736433849,0.84479759790019,1,1,10.4965853247667,20.9931706495335,-0.693147180559945
"pImAct",0.25,0.0876008004326897,0.462600799067147,0,1,4.69029896714751,14.0708969014425,-1.09861228866811
"TunLtbiTrend",0.6,0.151474056900893,1.35147411037636,1,1,3.67092508297762,6.11820847162937,-0.510825623765991
"ImmigPrevFutLat",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
"ImmigPrevFutAct",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
"TunImmDr",1,0.809873023606969,1.20987304079851,1,1,95.8611158566946,95.8611158566946,0
"TunImmDrFut",1,0.990024656140345,1.01002465614117,1,0,38414.4127295606,38414.4127295606,0
"ExogInf",5e-05,1.51849469700998e-05,0.000105184947226647,1,1,4.57077307370447,91415.4614740895,-9.90348755253613
"rEmmigF1",0.05,0.031980878278332,0.0719808785531924,1,1,23.8341871704041,476.683743408082,-2.99573227355399
"rEmmigF2",0.003,0.00208243082210859,0.00408243082861735,1,1,34.3980235734778,11466.0078578259,-5.80914299031403
"pHR",0.005,0.00195050540541324,0.00945050540915038,0,1,6.61748158531679,1316.87883547804,-5.29330482472449
"HivInc",1,0.562046660366717,1.56204617167027,1,1,15.1912647717684,15.1912647717684,0
"HivIncFut",0.98,0.955020579905884,0.995020678858871,0,0,175.231466667891,3.57615238097736,3.89182029811063
"HivHrPar",2,1.1240929100373,3.1240930274998,1,1,15.1912479494812,7.59562397474062,0.693147180559945
"rH1toH2",0.3,0.133252132132334,0.533252134599756,1,1,8.46954018307854,28.2318006102618,-1.20397280432594
"rT1toT2",0.023,0.00605208836685244,0.0510520884307592,1,1,3.84326151982266,167.098326948811,-3.77226106305299
"TunHIVProgAg",0.2,0.0781354571617902,0.378135459994536,1,1,6.65609859408073,33.2804929704036,-1.6094379124341
"ArtTbEff1",0.57,0.416713129440498,0.71671311494016,0,1,23.0130187132188,17.3606983275159,0.281851152140987
"ArtTbEff2",0.75,0.565930987895314,0.895931002481297,0,1,18.5597203767463,6.18657345891544,1.09861228866811
"TbHivEarly",0.19,0.0543468589701533,0.384346877978995,0,1,3.76227599180761,16.0391765966535,-1.450010175506
