year,0_4,5_14,15_24,25_34,35_44,45_54,55_64,65_74,75_84,85p,all
1993,1014,646,1821,4517,5072,3486,2709,2731,2166,923,25102
1994,995,664,1832,4090,4953,3456,2670,2671,2006,863,24206
1995,894,642,1697,3709,4491,3436,2524,2448,1970,910,22726
1996,770,586,1637,3401,4163,3210,2362,2394,1895,787,21210
1997,734,517,1674,3072,3812,2963,2315,2104,1763,796,19751
1998,638,439,1543,2914,3421,2877,2077,2003,1682,692,18286
1999,602,436,1518,2750,3312,2782,2078,1807,1560,652,17499
2000,544,420,1618,2650,2926,2692,1943,1597,1362,556,16308
2001,543,386,1597,2748,2862,2655,1860,1504,1294,495,15945
2002,556,388,1498,2549,2739,2479,1703,1499,1203,440,15055
2003,547,364,1573,2486,2588,2546,1737,1368,1179,447,14835
2004,549,403,1603,2430,2510,2500,1692,1282,1081,448,14499
2005,474,377,1540,2412,2325,2434,1692,1264,1131,416,14065
2006,482,321,1532,2402,2288,2319,1720,1214,1045,404,13728
2007,467,310,1580,2270,2042,2297,1740,1240,970,364,13281
2008,496,289,1443,2205,2033,2240,1688,1112,967,417,12890
2009,403,244,1279,2061,1825,1878,1544,1062,868,353,11517
2010,365,271,1199,1919,1749,1874,1555,1053,818,354,11157
2011,351,227,1030,1762,1604,1733,1559,1041,846,356,10509
2012,261,226,1019,1705,1415,1596,1518,1050,760,389,9940
2013,295,188,979,1579,1385,1493,1462,1005,807,368,9561
2014,263,195,961,1496,1325,1433,1523,1033,813,356,9398
2015,244,196,935,1550,1307,1483,1540,1100,819,371,9547
2016,224,163,938,1518,1309,1433,1416,1117,821,326,9272
