year,us,fb,all
1993,17433,7403,25102
1994,16180,7762,24206
1995,14663,8010,22726
1996,13385,7752,21210
1997,11924,7753,19751
1998,10609,7623,18286
1999,9783,7624,17499
2000,8632,7634,16308
2001,7848,8034,15945
2002,7263,7737,15055
2003,6842,7947,14835
2004,6601,7875,14499
2005,6290,7745,14065
2006,5859,7845,13728
2007,5431,7780,13281
2008,5237,7644,12890
2009,4501,6999,11517
2010,4331,6817,11157
2011,3941,6563,10509
2012,3627,6309,9940
2013,3330,6222,9561
2014,3129,6264,9398
2015,3135,6406,9547
2016,2901,6351,9272
