,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
85,419367,420790,433601,446063,446063,460979,474280,487345,503167,514735,535659,545573,564365,593326,606196,624365,643191,661574,697231,710649,730194,,,,,,,,,,,915081,928783,932277,924114,956384,938865,934557
86,367930,371580,373452,384373,384373,394823,408179,419322,430154,441473,451382,499551,494560,511088,536180,548357,564081,580586,596906,629188,635154,,,,,,,,,,,821605,832063,848148,854816,845130,876538,861086
87,314504,322701,326853,327891,327891,337493,347211,360256,370683,378706,389758,424545,448314,443172,456904,479847,489933,503481,518210,532464,557330,,,,,,,,,,,721252,756180,751602,769919,773660,766537,795912
88,262747,270930,278382,280122,280122,279082,286280,294413,305956,312530,318962,357082,377541,398425,393176,406201,426230,434971,447354,460896,465481,,,,,,,,,,,636689,663871,675328,674651,688988,694100,688419
89,215686,226963,237543,246503,246503,249640,250524,260364,272306,285662,295911,288388,314111,331928,349679,345888,357081,374575,382493,393855,401659,,,,,,,,,,,546229,568783,585325,599042,596057,610586,615811
90,173339,181214,189530,195580,195580,200084,199213,197159,203588,209895,219415,261108,248616,269665,283446,298300,293758,302031,315932,321717,327904,,,,,,,,,,,448347,488058,494529,512218,522145,520990,534502
91,136979,143764,151362,157456,157456,161218,163862,162038,159682,163856,169915,199529,222118,210668,227485,239170,250873,246269,252746,264035,266386,,,,,,,,,,,344460,406960,417433,426528,439673,449898,449373
92,106240,112300,119906,126867,126867,131898,134939,137486,136167,133050,138270,149367,167463,186061,175750,190148,199535,208998,205002,210441,218217,,,,,,,,,,,288842,323040,342548,353944,360231,372778,382209
93,80679,86659,92962,100058,100058,106345,110722,113820,117131,114939,112947,118315,123178,137945,152730,144400,155912,163311,171087,167733,169066,,,,,,,,,,,219069,240200,266715,285797,293225,300057,310956
94,60004,65276,70904,76093,76093,81920,87236,90887,93973,96311,94318,94284,95403,98879,110197,122026,114745,123426,128925,134930,130958,,,,,,,,,,,170783,193849,194933,218060,232582,239378,245786
95,43419,46962,51444,55031,55031,57934,61476,64745,66857,67771,69085,73249,73472,73544,75310,83577,91611,85106,90869,94154,98095,,,,,,,,,,,131085,140674,153948,156767,173395,186336,191768
96,30642,33416,36721,40157,40157,42333,43923,46252,48579,49436,50322,53757,56885,57042,56973,58672,65244,71646,66428,71298,72680,,,,,,,,,,,97169,105422,108961,121076,122561,135594,146593
97,21110,23379,26028,28743,28743,31405,32725,33650,35340,36764,37812,38600,40739,42998,42910,42988,44162,49111,54058,49935,52844,,,,,,,,,,,68894,77169,79964,83485,92293,94410,103874
98,14234,15748,17689,19759,19759,21781,23512,23940,24282,24794,25937,28166,28513,29976,31447,31436,31357,32098,35715,39439,36003,,,,,,,,,,,47035,54518,57026,60036,61792,69007,71123
99,9652,10402,11901,13839,13839,15958,17836,19673,20054,20140,20859,18841,20137,20198,21022,22025,21838,21601,21982,24456,27162,,,,,,,,,,,32181,36776,39278,41723,43527,44832,50465
100,15099,17091,18429,19900,19900,21748,25354,30698,35111,35198,37192,38784,39245,40651,41627,43322,45341,46692,47597,48828,50454,,,,,,,,,,,54413,61831,66195,72227,76941,81971,86248
