,BcValue,Lower,Upper,B0_G1_N2,Calib,Par1,Par2,TransMean
TunBirths,1.0000,0.9025,1.1025,1.0000,0.0000,383.9704,383.9704,0.0000
TunMubt,1.0000,0.9025,1.1025,1.0000,0.0000,383.9704,383.9704,0.0000
muIp,0.0500,0.0074,0.1324,1.0000,1.0000,2.2925,45.8503,-2.9957
muTbH,0.2000,0.0781,0.3781,1.0000,1.0000,6.6561,33.2805,-1.6094
TunmuTbAg,0.5000,0.2448,0.8448,1.0000,1.0000,10.4966,20.9932,-0.6931
muH1,0.0100,0.0015,0.0265,1.0000,1.0000,2.2925,229.2517,-4.6052
muH2,0.1000,0.0391,0.1891,1.0000,1.0000,6.6561,66.5610,-2.3026
RRmuHR,3.4000,2.2637,4.7637,1.0000,1.0000,28.2456,8.3075,1.2238
ImmigVol,1.0000,0.4896,1.6896,1.0000,1.0000,10.4966,10.4966,0.0000
ImmigVolFut,0.0000,-0.0100,0.0100,2.0000,0.0000,0.0000,0.0051,0.0000
ImDxChng,1.0000,0.3907,1.8907,1.0000,1.0000,6.6561,6.6561,0.0000
RRtbprev,1.0000,0.0394,3.4593,1.0000,1.0000,1.1632,1.1632,0.0000
LtbiPar1,0.2000,0.0781,0.3781,1.0000,1.0000,6.6561,33.2805,-1.6094
LtbiPar2,0.5000,0.2448,0.8448,1.0000,1.0000,10.4966,20.9932,-0.6931
pImAct,0.2500,0.0876,0.4626,0.0000,1.0000,4.6903,14.0709,-1.0986
TunLtbiTrend,0.6000,0.1515,1.3515,1.0000,1.0000,3.6709,6.1182,-0.5108
ImmigPrevFutLat,0.9800,0.9550,0.9950,0.0000,0.0000,175.2315,3.5762,3.8918
ImmigPrevFutAct,0.9800,0.9550,0.9950,0.0000,0.0000,175.2315,3.5762,3.8918
ExogInf,0.0001,0.0000,0.0001,1.0000,1.0000,4.5708,91415.4615,-9.9035
rEmmigF1,0.0500,0.0320,0.0720,1.0000,1.0000,23.8342,476.6837,-2.9957
rEmmigF2,0.0030,0.0021,0.0041,1.0000,1.0000,34.3980,11466.0079,-5.8091
pHR,0.0050,0.0020,0.0095,0.0000,1.0000,6.6175,1316.8788,-5.2933
CR,10.0000,5.6204,15.6205,1.0000,1.0000,15.1911,1.5191,2.3026
Early0,0.5000,0.1518,1.0518,1.0000,1.0000,4.5708,9.1416,-0.6931
RelCrHr,3.0000,1.6861,4.6861,1.0000,1.0000,15.1912,5.0637,1.0986
sigmaHr,0.5000,0.1000,0.9000,0.0000,1.0000,2.0934,2.0934,0.0000
sigmaFb,0.5000,0.1000,0.9000,0.0000,1.0000,2.0934,2.0934,0.0000
pfast,0.0640,0.0036,0.2006,0.0000,1.0000,1.3037,19.0662,-2.6827
ORpfast1,2.5000,0.8143,5.1143,1.0000,1.0000,5.0218,2.0087,0.9163
ORpfast2,0.5000,0.1802,0.9802,1.0000,1.0000,5.8295,11.6591,-0.6931
ORpfastH,10.0000,3.9068,18.9067,1.0000,1.0000,6.6561,0.6656,2.3026
ORpfastPI,0.2100,0.0805,0.4005,1.0000,1.0000,6.4444,30.6878,-1.5606
rslow,0.0007,0.0001,0.0020,1.0000,1.0000,1.6354,2440.9087,-7.3082
rslowH,0.0420,0.0073,0.1063,1.0000,1.0000,2.5980,61.8577,-3.1701
rrSlowFB,1.2000,0.9629,1.4629,1.0000,1.0000,88.3319,73.6099,0.1823
TunrslowAge,0.2000,0.0945,0.3445,1.0000,1.0000,9.6601,48.3007,-1.6094
rfast,0.5500,0.1894,1.0994,1.0000,1.0000,5.4405,9.8919,-0.5978
rRecov,0.0300,0.0102,0.0602,1.0000,1.0000,5.3593,178.6417,-3.5066
rSlfCur,0.2000,0.1124,0.3124,1.0000,1.0000,15.1913,75.9563,-1.6094
rLtScr,0.0250,0.0007,0.0907,1.0000,1.0000,1.0392,41.5697,-3.6889
SensLt,0.8000,0.7531,0.8431,0.0000,1.0000,241.3621,60.3405,1.3863
SpecLt,0.9750,0.9640,0.9840,0.0000,1.0000,905.2468,23.2115,3.6636
rrTestHr,3.0000,1.1720,5.6720,1.0000,1.0000,6.6561,2.2187,1.0986
rrTestLrNoTb,0.2000,0.0781,0.3781,1.0000,1.0000,6.6561,33.2805,-1.6094
pDefLt,0.3300,0.2906,0.3706,0.0000,1.0000,174.6777,354.6486,-0.7082
EffLt,0.9000,0.8122,0.9622,0.0000,1.0000,52.9149,5.8794,2.1972
SensSn,0.9500,0.8952,0.9852,0.0000,1.0000,81.4700,4.2879,2.9444
SensSp,0.9950,0.9895,0.9985,0.0000,1.0000,903.9792,4.5426,5.2933
pImmScen,0.5000,0.2500,0.7500,0.0000,1.0000,6.9159,6.9159,0.0000
DelaySp,0.6000,0.3758,0.8758,1.0000,1.0000,21.9519,36.5866,-0.5108
Dx1,0.0000,-1.0000,1.0000,2.0000,1.0000,0.0000,0.5102,0.0000
Dx2,0.0000,-1.0000,1.0000,2.0000,1.0000,0.0000,0.5102,0.0000
Dx3,0.0000,-1.0000,1.0000,2.0000,1.0000,0.0000,0.5102,0.0000
Dx4,0.0000,-1.0000,1.0000,2.0000,1.0000,0.0000,0.5102,0.0000
Dx5,0.0000,-1.0000,1.0000,2.0000,1.0000,0.0000,0.5102,0.0000
rrDxH,3.0000,2.0824,4.0824,1.0000,1.0000,34.3980,11.4660,1.0986
TunRRdxAge,1.0000,0.3907,1.8907,1.0000,1.0000,6.6561,6.6561,0.0000
pDst,0.8000,0.6905,0.8905,0.0000,1.0000,47.7011,11.9253,1.3863
TunTxMort,0.5000,0.2000,0.8000,0.0000,1.0000,4.5374,4.5374,0.0000
pCurPs,0.9600,0.9376,0.9776,0.0000,1.0000,348.9694,14.5404,3.1781
TxDefEarly,0.1000,0.0148,0.2648,1.0000,1.0000,2.2925,22.9252,-2.3026
TunTxDef,1.0000,0.7437,1.2937,1.0000,1.0000,50.6209,50.6209,0.0000
RRdefHR,2.0000,1.2004,3.0004,1.0000,1.0000,18.7954,9.3977,0.6931
TxQualEarly,0.8500,0.7529,0.9529,1.0000,1.0000,277.3700,326.3176,-0.1625
TunTxQual,1.0000,0.7437,1.2937,1.0000,1.0000,50.6209,50.6209,0.0000
RRcurDef,0.2500,0.0901,0.4901,1.0000,1.0000,5.8295,23.3181,-1.3863
pReTx,0.5000,0.2000,0.8000,0.0000,1.0000,4.5374,4.5374,0.0000
