State,State Code,Year,Deaths,Population,Crude Rate
Alabama,1,1979,34457,3873403,890
Alabama,1,1980,35542,3898117,912
Alabama,1,1981,35412,3920097,903
Alabama,1,1982,35002,3925924,892
Alabama,1,1983,35560,3933838,904
Alabama,1,1984,36536,3952400,924
Alabama,1,1985,37603,3974101,946
Alabama,1,1986,37718,3993162,945
Alabama,1,1987,37708,4017181,939
Alabama,1,1988,39127,4027045,972
Alabama,1,1989,39006,4034980,967
Alabama,1,1990,39381,4043643,974
Alabama,1,1991,40063,4101607,977
Alabama,1,1992,39352,4155699,947
Alabama,1,1993,41272,4216208,979
Alabama,1,1994,41708,4262457,979
Alabama,1,1995,42362,4298981,985
Alabama,1,1996,42827,4334219,988
Alabama,1,1997,43258,4370490,990
Alabama,1,1998,43950,4408398,997
Alabama,1,1999,44806,4430141,1011
Alabama,1,2000,45062,4447100,1013
Alabama,1,2001,45316,4467634,1014
Alabama,1,2002,46069,4480089,1028
Alabama,1,2003,46716,4503491,1037
Alabama,1,2004,46121,4530729,1018
Alabama,1,2005,47090,4569805,1031
Alabama,1,2006,46977,4628981,1015
Alabama,1,2007,46696,4672840,999
Alabama,1,2008,47707,4718206,1011
Alabama,1,2009,47470,4757938,998
Alabama,1,2010,48038,4779736,1005
Alabama,1,2011,48681,4799918,1014
Alabama,1,2012,49301,4815960,1024
Alabama,1,2013,50189,4829479,1039
Alabama,1,2014,50215,4843214,1037
Alabama,1,2015,51909,4853875,1069
Alabama,1,2016,52466,4863300,1079
Alaska,2,1979,1567,404735,387
Alaska,2,1980,1714,403594,425
Alaska,2,1981,1723,420161,410
Alaska,2,1982,1785,451672,395
Alaska,2,1983,1897,490111,387
Alaska,2,1984,1929,515014,375
Alaska,2,1985,2068,533411,388
Alaska,2,1986,2090,544113,384
Alaska,2,1987,2055,538774,381
Alaska,2,1988,2064,541504,381
Alaska,2,1989,2095,547442,383
Alaska,2,1990,2188,549982,398
Alaska,2,1991,2200,570440,386
Alaska,2,1992,2303,589389,391
Alaska,2,1993,2383,599884,397
Alaska,2,1994,2445,603918,405
Alaska,2,1995,2553,605068,422
Alaska,2,1996,2582,609231,424
Alaska,2,1997,2575,613530,420
Alaska,2,1998,2571,620503,414
Alaska,2,1999,2708,624779,433
Alaska,2,2000,2914,626932,465
Alaska,2,2001,2974,633714,469
Alaska,2,2002,3030,642337,472
Alaska,2,2003,3180,648414,490
Alaska,2,2004,3051,659286,463
Alaska,2,2005,3168,666946,475
Alaska,2,2006,3354,675302,497
Alaska,2,2007,3463,680300,509
Alaska,2,2008,3494,687455,508
Alaska,2,2009,3618,698895,518
Alaska,2,2010,3728,710231,525
Alaska,2,2011,3849,722713,533
Alaska,2,2012,3912,731089,535
Alaska,2,2013,3997,736879,542
Alaska,2,2014,4128,736705,560
Alaska,2,2015,4316,737709,585
Alaska,2,2016,4494,741894,606
Arizona,4,1979,19782,2643879,748
Arizona,4,1980,21367,2725485,784
Arizona,4,1981,21358,2816864,758
Arizona,4,1982,21969,2896090,759
Arizona,4,1983,22593,2974479,760
Arizona,4,1984,23972,3072024,780
Arizona,4,1985,24619,3190632,772
Arizona,4,1986,25569,3315309,771
Arizona,4,1987,26969,3444621,783
Arizona,4,1988,27684,3543501,781
Arizona,4,1989,28212,3629959,777
Arizona,4,1990,28789,3670009,784
Arizona,4,1991,29548,3789418,780
Arizona,4,1992,31055,3917373,793
Arizona,4,1993,33321,4066852,819
Arizona,4,1994,34298,4247728,807
Arizona,4,1995,35342,4433841,797
Arizona,4,1996,36592,4589841,797
Arizona,4,1997,37066,4739994,782
Arizona,4,1998,38300,4886250,784
Arizona,4,1999,40050,5023823,797
Arizona,4,2000,40500,5130632,789
Arizona,4,2001,41058,5273477,779
Arizona,4,2002,42816,5396255,793
Arizona,4,2003,43392,5510364,788
Arizona,4,2004,43198,5652404,764
Arizona,4,2005,45827,5839077,785
Arizona,4,2006,46365,6029141,769
Arizona,4,2007,45554,6167681,739
Arizona,4,2008,45823,6280362,730
Arizona,4,2009,45816,6343154,722
Arizona,4,2010,46762,6392017,732
Arizona,4,2011,48381,6467163,748
Arizona,4,2012,49549,6549634,757
Arizona,4,2013,50534,6624617,763
Arizona,4,2014,51538,6719993,767
Arizona,4,2015,54299,6817565,797
Arizona,4,2016,56645,6931071,817
Arkansas,5,1979,21550,2270804,949
Arkansas,5,1980,22744,2288599,994
Arkansas,5,1981,22372,2293696,975
Arkansas,5,1982,22419,2294665,977
Arkansas,5,1983,23154,2305943,1004
Arkansas,5,1984,23595,2320088,1017
Arkansas,5,1985,24137,2328082,1037
Arkansas,5,1986,23968,2332608,1028
