year,0_14,15_24,25_34,35_44,45_54,55_64,65p,total
1999,110,209,2824,6658,4361,1334,562,16060
2000,73,189,2539,6318,4605,1459,585,15768
2001,65,232,2186,6284,4634,1527,594,15522
2002,44,183,1896,6112,4998,1619,619,15475
2003,43,186,1649,5731,4999,1786,678,15075
2004,38,197,1520,5187,4993,1865,682,14488
2005,20,166,1389,4736,5143,1950,727,14132
2006,25,211,1233,4305,4969,2073,755,13572
2007,21,164,1133,3842,4723,2083,722,12692
2008,4,174,1019,3108,4315,2378,859,11857
2009,8,155,931,2654,4029,2366,951,11095
2010,5,152,774,2098,3723,2342,883,9977
2011,4,141,703,1800,3369,2387,947,9351
2012,7,122,701,1523,3165,2434,997,8950
2013,4,117,680,1406,3009,2461,1104,8782
2014,1,122,616,1335,2819,2540,1184,8619
2015,5,102,569,1198,2542,2521,1363,8300
2016,1,74,589,1097,2332,2594,1381,8068
