Year,Age Group,Deaths,Cause of death Code
1999,< 1 year,2,tb
1999,1-4 years,2,tb
1999,5-14 years,3,tb
1999,15-24 years,14,tb
1999,25-34 years,41,tb
1999,35-44 years,130,tb
1999,45-54 years,203,tb
1999,55-64 years,251,tb
1999,65-74 years,369,tb
1999,75-84 years,497,tb
1999,85+ years,337,tb
1999,Not Stated,1,tb
2000,< 1 year,1,tb
2000,1-4 years,7,tb
2000,5-14 years,1,tb
2000,15-24 years,17,tb
2000,25-34 years,36,tb
2000,35-44 years,96,tb
2000,45-54 years,183,tb
2000,55-64 years,190,tb
2000,65-74 years,297,tb
2000,75-84 years,476,tb
2000,85+ years,244,tb
2000,Not Stated,1,tb
2001,< 1 year,3,tb
2001,1-4 years,2,tb
2001,5-14 years,1,tb
2001,15-24 years,15,tb
2001,25-34 years,40,tb
2001,35-44 years,91,tb
2001,45-54 years,156,tb
2001,55-64 years,217,tb
2001,65-74 years,299,tb
2001,75-84 years,434,tb
2001,85+ years,244,tb
2001,Not Stated,1,tb
2002,< 1 year,3,tb
2002,1-4 years,1,tb
2002,5-14 years,1,tb
2002,15-24 years,13,tb
2002,25-34 years,32,tb
2002,35-44 years,93,tb
2002,45-54 years,157,tb
2002,55-64 years,197,tb
2002,65-74 years,292,tb
2002,75-84 years,410,tb
2002,85+ years,235,tb
2003,1-4 years,1,tb
2003,5-14 years,2,tb
2003,15-24 years,15,tb
2003,25-34 years,33,tb
2003,35-44 years,72,tb
2003,45-54 years,185,tb
2003,55-64 years,199,tb
2003,65-74 years,234,tb
2003,75-84 years,416,tb
2003,85+ years,210,tb
2003,Not Stated,1,tb
2004,< 1 year,2,tb
2004,1-4 years,1,tb
2004,5-14 years,4,tb
2004,15-24 years,7,tb
2004,25-34 years,24,tb
2004,35-44 years,86,tb
2004,45-54 years,144,tb
2004,55-64 years,169,tb
2004,65-74 years,248,tb
2004,75-84 years,320,tb
2004,85+ years,221,tb
2005,< 1 year,2,tb
2005,1-4 years,4,tb
2005,5-14 years,2,tb
2005,15-24 years,21,tb
2005,25-34 years,33,tb
2005,35-44 years,73,tb
2005,45-54 years,161,tb
2005,55-64 years,180,tb
2005,65-74 years,228,tb
2005,75-84 years,333,tb
2005,85+ years,219,tb
2006,1-4 years,4,tb
2006,5-14 years,1,tb
2006,15-24 years,8,tb
2006,25-34 years,30,tb
2006,35-44 years,51,tb
2006,45-54 years,167,tb
2006,55-64 years,183,tb
2006,65-74 years,215,tb
2006,75-84 years,332,tb
2006,85+ years,208,tb
2007,< 1 year,2,tb
2007,1-4 years,1,tb
2007,5-14 years,3,tb
2007,15-24 years,8,tb
2007,25-34 years,24,tb
2007,35-44 years,65,tb
2007,45-54 years,137,tb
2007,55-64 years,154,tb
2007,65-74 years,185,tb
2007,75-84 years,295,tb
2007,85+ years,168,tb
2008,1-4 years,2,tb
2008,5-14 years,3,tb
2008,15-24 years,8,tb
2008,25-34 years,24,tb
2008,35-44 years,53,tb
2008,45-54 years,141,tb
2008,55-64 years,172,tb
2008,65-74 years,211,tb
2008,75-84 years,277,tb
2008,85+ years,215,tb
2009,< 1 year,2,tb
2009,5-14 years,2,tb
2009,15-24 years,12,tb
2009,25-34 years,25,tb
2009,35-44 years,38,tb
2009,45-54 years,115,tb
