year,prior_tx,foreign_born,total,inh
1993,1,0,668,83
1994,1,0,693,81
1995,1,0,592,77
1996,1,0,559,68
1997,1,0,455,35
1998,1,0,485,38
1999,1,0,382,25
2000,1,0,360,22
2001,1,0,324,28
2002,1,0,303,23
2003,1,0,253,16
2004,1,0,274,15
2005,1,0,240,18
2006,1,0,203,9
2007,1,0,206,14
2008,1,0,170,13
2009,1,0,115,6
2010,1,0,129,12
2011,1,0,137,9
2012,1,0,127,8
2013,1,0,98,8
2014,1,0,95,5
2015,1,0,100,7
2016,1,0,82,7
1993,0,0,11809,789
1994,0,0,11009,708
1995,0,0,10340,554
1996,0,0,9637,495
1997,0,0,8696,435
1998,0,0,7695,366
1999,0,0,7011,284
2000,0,0,6141,269
2001,0,0,5570,241
2002,0,0,5059,206
2003,0,0,4853,213
2004,0,0,4683,214
2005,0,0,4396,188
2006,0,0,4127,173
2007,0,0,3838,163
2008,0,0,3647,189
2009,0,0,2014,187
2010,0,0,2943,165
2011,0,0,2701,173
2012,0,0,2524,151
2013,0,0,2286,131
2014,0,0,2187,164
2015,0,0,2185,147
2016,0,0,2032,120
1993,1,1,301,75
1994,1,1,336,93
1995,1,1,364,91
1996,1,1,303,74
1997,1,1,286,74
1998,1,1,262,60
1999,1,1,284,55
2000,1,1,272,62
2001,1,1,302,59
2002,1,1,265,57
2003,1,1,271,49
2004,1,1,263,49
2005,1,1,267,52
2006,1,1,289,57
2007,1,1,288,57
2008,1,1,259,44
2009,1,1,225,46
2010,1,1,230,50
2011,1,1,208,50
2012,1,1,229,47
2013,1,1,203,40
2014,1,1,241,58
2015,1,1,216,44
2016,1,1,214,50
1993,0,1,4665,564
1994,0,1,5291,632
1995,0,1,5652,618
1996,0,1,5676,637
1997,0,1,5708,640
1998,0,1,5692,643
1999,0,1,5596,614
2000,0,1,5659,617
2001,0,1,5908,558
2002,0,1,5720,619
2003,0,1,5869,606
2004,0,1,5789,587
2005,0,1,5652,567
2006,0,1,5765,596
2007,0,1,5755,548
2008,0,1,5654,585
2009,0,1,4720,465
2010,0,1,4865,463
2011,0,1,4852,515
2012,0,1,4561,486
2013,0,1,4575,491
2014,0,1,4555,459
2015,0,1,4756,479
2016,0,1,4567,456
