year,prior_tx,foreign_born,total,mdr
1993,1,0,668,30
1994,1,0,693,35
1995,1,0,592,28
1996,1,0,559,21
1997,1,0,455,12
1998,1,0,485,6
1999,1,0,382,6
2000,1,0,360,2
2001,1,0,324,7
2002,1,0,303,3
2003,1,0,253,2
2004,1,0,274,4
2005,1,0,240,2
2006,1,0,203,1
2007,1,0,206,3
2008,1,0,170,3
2009,1,0,115,1
2010,1,0,129,2
2011,1,0,137,1
2012,1,0,127,0
2013,1,0,98,2
2014,1,0,95,0
2015,1,0,100,3
2016,1,0,82,0
1993,0,0,11808,301
1994,0,0,11009,238
1995,0,0,10340,169
1996,0,0,9637,104
1997,0,0,8696,76
1998,0,0,7695,55
1999,0,0,7011,39
2000,0,0,6141,40
2001,0,0,5570,34
2002,0,0,5059,35
2003,0,0,4853,23
2004,0,0,4683,26
2005,0,0,4396,20
2006,0,0,4127,19
2007,0,0,3838,18
2008,0,0,3647,21
2009,0,0,3014,12
2010,0,0,2943,14
2011,0,0,2701,17
2012,0,0,2524,13
2013,0,0,2286,7
2014,0,0,2187,10
2015,0,0,2185,10
2016,0,0,2032,8
1993,1,1,301,46
1994,1,1,336,38
1995,1,1,364,42
1996,1,1,303,22
1997,1,1,286,32
1998,1,1,262,17
1999,1,1,284,22
2000,1,1,272,24
2001,1,1,302,26
2002,1,1,265,23
2003,1,1,271,19
2004,1,1,263,23
2005,1,1,267,21
2006,1,1,289,19
2007,1,1,288,16
2008,1,1,259,16
2009,1,1,225,18
2010,1,1,230,14
2011,1,1,208,26
2012,1,1,229,12
2013,1,1,203,10
2014,1,1,241,24
2015,1,1,216,13
2016,1,1,214,18
1993,0,1,4665,103
1994,0,1,5291,110
1995,0,1,5652,85
1996,0,1,5676,102
1997,0,1,5708,79
1998,0,1,5692,76
1999,0,1,5596,88
2000,0,1,5659,80
2001,0,1,5908,81
2002,0,1,5720,97
2003,0,1,5869,70
2004,0,1,5789,74
2005,0,1,5652,77
2006,0,1,5765,84
2007,0,1,5755,83
2008,0,1,5654,67
2009,0,1,4720,79
2010,0,1,4865,73
2011,0,1,4852,84
2012,0,1,4561,64
2013,0,1,4575,76
2014,0,1,4555,60
2015,0,1,4756,62
2016,0,1,4567,70
