Year,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85p
1999,0.00173426,0.000186062,0.000792636,0.001022091,0.001980093,0.004182152,0.010050414,0.024572574,0.057144778,0.155546028
2000,0.001721649,0.000180463,0.000798976,0.00101402,0.001988946,0.004255566,0.009921695,0.023990503,0.056664898,0.155244131
2001,0.001693162,0.000172409,0.000802018,0.001056027,0.00203486,0.004267096,0.009724602,0.023441895,0.055736882,0.154326244
2002,0.001692917,0.000173823,0.000808878,0.001050962,0.002041637,0.004310466,0.00948728,0.02300292,0.055437645,0.155895155
2003,0.001683812,0.00016946,0.00081104,0.001052396,0.002026104,0.00433075,0.009372684,0.022350084,0.054513037,0.154013635
2004,0.001653755,0.00016723,0.000796722,0.001040784,0.001948892,0.004268491,0.009032392,0.021409685,0.052673988,0.147776131
2005,0.001666683,0.000162604,0.000806527,0.001067918,0.001948832,0.004318769,0.008984581,0.021097415,0.052518195,0.149824036
2006,0.001662982,0.000151536,0.000814283,0.001090286,0.001920345,0.0042746,0.008813029,0.020314141,0.050960695,0.144266799
2007,0.00168146,0.000151569,0.000787608,0.001071979,0.001860117,0.004203146,0.008666573,0.019759551,0.049870872,0.141609411
2008,0.001617522,0.000139063,0.000742035,0.001051421,0.001810038,0.004195684,0.008671179,0.019583794,0.049981256,0.143324467
2009,0.001524462,0.000138359,0.000697984,0.001043677,0.001799685,0.004180525,0.008566639,0.018887116,0.048202246,0.136600873
2010,0.001430696,0.000128675,0.000677366,0.001029102,0.001705185,0.004070659,0.008519154,0.018751115,0.047901781,0.139343467
2011,0.001400204,0.000131606,0.000677362,0.001046841,0.001720318,0.004097817,0.008494399,0.01846174,0.04753048,0.137793474
2012,0.001392396,0.000126383,0.000664074,0.001053929,0.001707012,0.004053944,0.008542069,0.018025388,0.046744904,0.136786455
2013,0.001384532,0.000129546,0.000648081,0.001061114,0.001719861,0.004060636,0.008600145,0.018020907,0.046481398,0.136604341
2014,0.001360626,0.000127455,0.000654641,0.001084117,0.001752419,0.004047898,0.00870332,0.017862559,0.045641902,0.134079037
2015,0.001377385,0.000131624,0.000695444,0.001167201,0.00180065,0.00404032,0.008752546,0.017967576,0.045791714,0.136739142
2016,0.001365281,0.000134062,0.000748661,0.001289605,0.001922207,0.004055374,0.008837849,0.017885927,0.044747566,0.133921265
