Age,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85-94,95_,,
1950,0.007546,0.000601,0.001281,0.001766,0.003536,0.008472,0.019010,0.041043,0.093311,0.201969,0.201969,,
1951,0.007292,0.000593,0.001280,0.001766,0.003536,0.008472,0.018812,0.040055,0.092359,0.197588,0.197588,,
1952,0.007483,0.000593,0.001301,0.001727,0.003439,0.008339,0.018599,0.039407,0.090546,0.190566,0.190566,,
1953,0.007217,0.000548,0.001238,0.001627,0.003320,0.008172,0.018385,0.039390,0.090635,0.191873,0.191873,,
1954,0.006888,0.000504,0.001138,0.001532,0.003098,0.007762,0.017374,0.037851,0.086035,0.181575,0.181575,,
1955,0.006692,0.000488,0.001156,0.001496,0.003068,0.007563,0.017297,0.038111,0.087946,0.189833,0.189833,,
1956,0.006604,0.000474,0.001155,0.001528,0.003071,0.007649,0.017440,0.038093,0.087856,0.192297,0.192297,,
1957,0.006671,0.000488,0.001156,0.001528,0.003071,0.007649,0.017806,0.039027,0.088075,0.197898,0.197898,,
1958,0.005757,0.000466,0.001075,0.001474,0.002989,0.007535,0.017398,0.038360,0.087944,0.197953,0.197953,,
1959,0.006428,0.000477,0.001117,0.001478,0.002939,0.007433,0.017117,0.037573,0.085849,0.194175,0.194175,,
1960,0.006326,0.000466,0.001063,0.001464,0.002994,0.007560,0.017351,0.038221,0.087452,0.198575,0.198575,,
1961,6.07E-03,4.39E-04,1.03E-03,1.43E-03,2.93E-03,7.32E-03,1.68E-02,3.69E-02,8.40E-02,1.96E-01,1.96E-01,,
1962,5.95E-03,4.38E-04,1.03E-03,1.45E-03,2.98E-03,7.44E-03,1.69E-02,3.74E-02,8.50E-02,2.05E-01,2.05E-01,,
1963,5.90E-03,4.33E-04,1.06E-03,1.48E-03,3.03E-03,7.52E-03,1.72E-02,3.79E-02,8.63E-02,2.10E-01,2.10E-01,,
1964,5.74E-03,4.32E-04,1.08E-03,1.52E-03,3.06E-03,7.45E-03,1.69E-02,3.66E-02,8.32E-02,1.99E-01,1.99E-01,,
1965,5.46E-03,4.23E-04,1.09E-03,1.51E-03,3.07E-03,7.47E-03,1.68E-02,3.66E-02,8.36E-02,2.01E-01,2.01E-01,,
1966,5.24E-03,4.28E-04,1.16E-03,1.53E-03,3.10E-03,7.50E-03,1.69E-02,3.70E-02,8.35E-02,2.00E-01,2.00E-01,,
1967,4.99E-03,4.17E-04,1.17E-03,1.52E-03,3.10E-03,7.36E-03,1.66E-02,3.62E-02,8.09E-02,1.92E-01,1.92E-01,,
1968,4.99E-03,4.30E-04,1.24E-03,1.57E-03,3.20E-03,7.51E-03,1.70E-02,3.72E-02,8.29E-02,1.96E-01,1.96E-01,,
1969,5.03E-03,4.26E-04,1.29E-03,1.59E-03,3.21E-03,7.33E-03,1.66E-02,3.63E-02,8.10E-02,1.88E-01,1.88E-01,,
