,BcValue,Lower,Upper,B0_G1_N2,Calib
TunBirths,1,0.9025,1.1025,1,0
TunMubt,1,0.9025,1.1025,1,1
muIp,0.05,0.0074,0.1324,1,1
TunmuTbAg,0.5,0.2448,0.8448,1,1
RRmuHR,3.4,2.2637,4.7637,1,1
ImmigVol,1,0.4896,1.6896,1,1
ImmigVolFut,0,-0.01,0.01,2,0
ImDxChng,1,0.3907,1.8907,1,1
RRtbprev,1,0.0394,3.4593,1,1
LtbiPar1,0.2,0.0781,0.3781,1,1
LtbiPar2,0.5,0.2448,0.8448,1,1
pImAct,0.25,0.0876,0.4626,0,1
TunLtbiTrend,0.6,0.1515,1.3515,1,1
ImmigPrevFutLat,0.98,0.955,0.995,0,0
ImmigPrevFutAct,0.98,0.955,0.995,0,0
ExogInf,0.0001,0,0.0001,1,1
rEmmigF1,0.05,0.032,0.072,1,1
rEmmigF2,0.003,0.0021,0.0041,1,1
pHR,0.005,0.002,0.0095,0,1
CR,10,5.6204,15.6205,1,1
Early0,0.5,0.1518,1.0518,1,1
RelCrHr,3,1.6861,4.6861,1,1
sigmaHr,0.5,0.1,0.9,0,1
sigmaFb,0.5,0.1,0.9,0,1
pfast,0.064,0.0036,0.2006,0,1
ORpfast1,2.5,0.8143,5.1143,1,1
ORpfast2,0.5,0.1802,0.9802,1,1
ORpfastH,10,3.9068,18.9067,1,1
ORpfastPI,0.21,0.0805,0.4005,1,1
rslow,0.0007,0.0001,0.002,1,1
rslowH,0.042,0.0073,0.1063,1,1
rrSlowFB,1.2,0.9629,1.4629,1,1
TunrslowAge,0.2,0.0945,0.3445,1,1
rfast,0.55,0.1894,1.0994,1,1
rRecov,0.03,0.0102,0.0602,1,1
rSlfCur,0.2,0.1124,0.3124,1,1
rLtScr,0.025,0.0007,0.0907,1,1
SensLt,0.8,0.7531,0.8431,0,1
SpecLt,0.975,0.964,0.984,0,1
rrTestHr,3,1.172,5.672,1,1
rrTestLrNoTb,0.2,0.0781,0.3781,1,1
pDefLt,0.33,0.2906,0.3706,0,1
EffLt,0.9,0.8122,0.9622,0,1
SensSn,0.95,0.8952,0.9852,0,1
SensSp,0.995,0.9895,0.9985,0,1
pImmScen,0.5,0.25,0.75,0,1
DelaySp,0.6,0.3758,0.8758,1,1
Dx1,0,-1,1,2,1
Dx2,0,-1,1,2,1
Dx3,0,-1,1,2,1
Dx4,0,-1,1,2,1
Dx5,0,-1,1,2,1
rrDxH,3,2.0824,4.0824,1,1
TunRRdxAge,1,0.3907,1.8907,1,1
pDst,0.8,0.6905,0.8905,0,1
TunTxMort,0.5,0.2,0.8,0,1
pCurPs,0.96,0.9376,0.9776,0,1
TxDefEarly,0.1,0.0148,0.2648,1,1
TunTxDef,1,0.7437,1.2937,1,1
RRdefHR,2,1.2004,3.0004,1,1
TxQualEarly,0.85,0.7529,0.9529,1,1
TunTxQual,1,0.7437,1.2937,1,1
RRcurDef,0.25,0.0901,0.4901,1,1
pReTx,0.5,0.2,0.8,0,1
RF_fact,20,5,40,2,1
