,BcValue,Lower,Upper,B0_G1_N2,Calib
TunBirths,1,0.9,1.1,1,0
TunmuAg1,1,0.8,1.2,1,1
TunmuAg11,1,0.8,1.2,1,1
muIp,0.05,0.025,0.15,1,0
TunmuTbAg,0.5,0.2,0.8,1,0
RRmuHR,3.4,2.3,4.8,1,0
ImmigVol,1,0.5,1.7,1,0
ImmigVolFut,0,-0.01,0.01,2,0
RRtbprev,1,0.08,3.5,1,0
LtbiPar1,0.2,0.1,0.4,1,0
LtbiPar2,0.5,0.3,0.9,1,0
pImAct,0.25,0.125,0.5,0,0
TunLtbiTrend,0.6,0.3,1.5,1,0
ImmigPrevFutLat,0.98,0.96,1,0,0
ImmigPrevFutAct,0.98,0.96,1,0,0
ExogInf,0.0001,0.00001,0.0001,1,0
rEmmigF1,0.05,0.03,0.07,1,0
rEmmigF2,0.003,0.002,0.004,1,0
TunNetMig,1,0.9,1.1,2,0
pHR,0.005,0.0025,0.01,0,0
CR,10,5,15,1,0
Early0,0.5,0.1,1,1,0
RelCrHr,3,2,5,1,0
sigmaHr,0.5,0.1,0.9,0,0
sigmaFb,0.5,0.1,0.9,0,0
pfast,0.064,0.003,0.2,0,0
ORpfast1,2.5,0.8,5.1,1,0
ORpfast2,0.5,0.2,1,1,0
ORpfastH,10,4,19,1,0
ORpfastPI,0.21,0.08,0.4,1,0
rslow,0.0007,0.00004,0.002,1,0
rslowH,0.042,0.001,0.1,1,0
TunrslowAge,0.2,0.1,0.35,1,0
rfast,0.55,0.19,1.1,1,0
rRecov,0.03,0.01,0.06,1,0
rSlfCur,0.2,0.15,0.35,1,0
rLtScr,0.025,0.01,0.1,1,0
SensLt,0.8,0.75,0.84,0,0
SpecLt,0.975,0.965,0.985,0,0
rrTestHr,3,1.5,6,1,0
rrTestLrNoTb,0.2,0.1,0.4,1,0
pDefLt,0.33,0.29,0.37,0,0
EffLt,0.9,0.8,0.95,0,0
SensSp,0.995,0.99,0.999,0,0
pImmScen,0.5,0.25,0.75,0,0
DelaySp,0.6,0.4,0.9,1,0
Dx1,0,-1,1,2,0
Dx2,0,-1,1,2,0
Dx3,0,-1,1,2,0
Dx4,0,-1,1,2,0
Dx5,0,-1,1,2,0
rrDxH,3,2,4,1,0
TunRRdxAge,1,0.5,2,1,0
pDst,0.8,0.7,0.9,0,0
TunTxMort,0.5,0.2,0.8,0,0
pCurPs,0.96,0.94,0.98,0,0
TxDefEarly,0.1,0.05,0.3,1,0
TunTxDef,1,0.75,1.3,1,0
RRdefHR,2,1.2,3,1,0
TxQualEarly,0.85,0.7,0.9,1,0
TunTxQual,1,0.75,1.3,1,0
RRcurDef,0.25,0.1,0.5,1,0
pReTx,0.5,0.2,0.8,0,0
adj_ag1,0,-0.2,0.2,2,1
adj_ag11,0,-0.2,0.2,2,1
