Year,Total Population,Total Population Difference,Total Percent change,USB Population,USB Population Difference,USB Percent change,NUSB Population,NUSB Population Difference,NUSB Percent change
2022,333288000,,,286804000,,,46484000,,
2023,334906000,1618000,0.49,287859000,1055000,0.37,47047000,563000,1.21
2024,336482000,1576000,0.47,288876000,1017000,0.35,47606000,559000,1.19
2025,338016000,1534000,0.46,289854000,978000,0.34,48162000,556000,1.17
2026,339513000,1497000,0.44,290798000,944000,0.33,48715000,553000,1.15
2027,340970000,1457000,0.43,291707000,909000,0.31,49264000,549000,1.13
2028,342385000,1415000,0.41,292580000,873000,0.3,49805000,541000,1.1
2029,343754000,1369000,0.4,293415000,835000,0.29,50339000,534000,1.07
2030,345074000,1320000,0.38,294212000,797000,0.27,50862000,523000,1.04
2031,346339000,1265000,0.37,294968000,756000,0.26,51371000,509000,1
2032,347545000,1206000,0.35,295683000,715000,0.24,51862000,491000,0.95
2033,348702000,1157000,0.33,296356000,673000,0.23,52346000,484000,0.93
2034,349808000,1106000,0.32,296985000,629000,0.21,52823000,477000,0.91
2035,350861000,1053000,0.3,297569000,584000,0.2,53292000,469000,0.89
2036,351861000,1000000,0.28,298107000,538000,0.18,53754000,462000,0.87
2037,352806000,945000,0.27,298599000,492000,0.17,54207000,453000,0.84
2038,353696000,890000,0.25,299045000,446000,0.15,54651000,444000,0.82
2039,354530000,834000,0.24,299444000,399000,0.13,55086000,435000,0.8
2040,355309000,779000,0.22,299798000,354000,0.12,55511000,425000,0.77
2041,356034000,725000,0.2,300106000,308000,0.1,55927000,416000,0.75
2042,356705000,671000,0.19,300371000,265000,0.09,56334000,407000,0.73
2043,357327000,622000,0.17,300596000,225000,0.07,56731000,397000,0.71
2044,357903000,576000,0.16,300784000,188000,0.06,57120000,389000,0.68
2045,358438000,535000,0.15,300939000,155000,0.05,57499000,379000,0.66
2046,358936000,498000,0.14,301067000,128000,0.04,57869000,370000,0.64
2047,359400000,464000,0.13,301171000,104000,0.03,58230000,361000,0.62
2048,359836000,436000,0.12,301254000,83000,0.03,58582000,352000,0.6
2049,360247000,411000,0.11,301322000,68000,0.02,58925000,343000,0.59
2050,360639000,392000,0.11,301378000,56000,0.02,59261000,336000,0.57
2051,361015000,376000,0.1,301428000,50000,0.02,59588000,327000,0.55
2052,361381000,366000,0.1,301474000,46000,0.02,59907000,319000,0.54
2053,361739000,358000,0.1,301520000,46000,0.02,60219000,312000,0.52
2054,362095000,356000,0.1,301571000,51000,0.02,60524000,305000,0.51
2055,362450000,355000,0.1,301628000,57000,0.02,60822000,298000,0.49
2056,362807000,357000,0.1,301694000,66000,0.02,61113000,291000,0.48
2057,363169000,362000,0.1,301770000,76000,0.03,61399000,286000,0.47
2058,363536000,367000,0.1,301857000,87000,0.03,61679000,280000,0.46
2059,363909000,373000,0.1,301955000,98000,0.03,61953000,274000,0.45
