Year,0-4,5-24,25-44,45-54,55-64,65-74,75-84,85+
1950,121973,42905,119404,148087,254150,342296,305851,116516
1951,125808,42243,119022,149202,256840,349444,316513,121714
1952,128912,42999,117066,148992,258840,353596,320715,124630
1953,126640,40989,112770,148358,259821,363568,331816,132584
1954,123722,38307,106363,143500,249275,360225,326417,132368
1955,123587,39075,105562,142266,252292,373029,346066,145602
1956,124786,39486,104892,142839,258343,382144,357751,153261
1957,129282,41019,107770,149133,266594,401901,371940,164453
1958,131350,39918,104712,149495,263378,404850,383172,170240
1959,129124,41698,103864,150065,262997,405792,388125,174369
1960,128555,42070,105517,154876,270197,420312,405209,184526
1961,124585,41752,103322,152744,265470,415906,407864,189275
1962,121733,43755,105132,156940,272873,428038,426467,201203
1963,119961,45845,107156,160429,282960,440362,445667,210541
1964,115759,48227,108523,160649,283049,430893,443128,207212
1965,108262,49768,108402,162848,287465,435392,458302,217147
1966,100605,53459,109234,165611,293362,443835,471022,225388
1967,92534,54599,108825,165041,294162,437919,469669,227987
1968,89301,58682,112679,170762,308276,453546,493130,243021
1969,87363,61853,113434,168624,305504,446864,491681,246001
1970,86215,62108,111810,169517,308373,445531,489803,246955
1971,79212,63776,110455,166899,306669,441773,496778,261222
1972,71276,64542,110700,168222,311522,455010,511620,270514
1973,66424,65439,111004,166016,310577,454661,514236,284100
1974,62607,62439,106867,160733,302197,450461,500239,288332
1975,59585,61024,104732,154342,295724,442496,489458,285077
1976,56871,58982,101898,150036,296060,443927,496719,304472
1977,55282,60565,103042,145123,292672,445595,490598,306151
1978,54374,60530,103991,141395,292851,452259,497326,324297
1979,53773,59865,105664,135265,286966,449255,493676,328725
1980,53713,59716,108658,133157,292181,466621,517257,357970
1981,51351,55187,109791,129233,290009,464648,514649,362499
1982,50311,51596,107615,123089,287014,465820,521959,366727
1983,48428,48225,108131,119893,288940,474380,541218,389363
1984,46952,47893,112484,117213,287355,476570,550912,399466
1985,47369,46868,117667,116634,286480,482646,568848,419051
1986,46371,48717,126923,115161,279029,485539,575149,427473
1987,45881,46766,131164,115920,273324,486103,584335,439248
1988,46339,47092,136591,117472,269749,488545,601914,459710
1989,46947,45402,141443,118266,260058,481224,599206,457358
1990,45282,45169,143653,118608,252696,477949,601439,463105
1991,43980,44931,147750,120676,248078,478636,607490,477401
1992,41392,42741,149771,125030,240991,477916,609852,487446
1993,40532,44141,155683,131815,241581,487819,638038,528437
1994,38510,43705,158776,137897,237119,483669,640214,538690
1995,35976,42840,160015,143000,235512,480890,652177,561259
1996,34435,40773,147180,144329,233725,473894,663290,576541
1997,33546,39605,134946,144882,231993,464274,670530,594068
1998,33622,38418,131382,146479,233724,458982,681663,612575
1999,33186,38251,130322,152974,238979,452600,698590,646141
2000,33014,38720,130249,160341,240846,441209,700445,658171
2001,32675,39347,133357,168065,244139,430960,701929,665531
2002,32892,40196,132495,172385,253342,422990,707654,681076
2003,32990,40522,130761,176781,262519,413497,703024,687852
2004,32721,40255,126230,177697,264697,399666,684230,671773
2005,33196,40836,126710,183530,275301,398355,686665,703169
2006,33158,41036,125995,185031,281401,390093,667338,701992
2007,33841,40129,122178,184686,287110,389238,652682,713647
2008,32789,37849,118645,186542,296182,401579,653560,744691
2009,30862,36067,117167,187568,303307,401032,627727,733178
2010,28902,34830,112292,183207,310802,407151,625651,765474
2011,28231,35068,113641,183247,323315,415052,626225,790545
2012,27847,34382,113753,179463,329606,432346,620428,805307
2013,27508,33826,115036,177724,338127,454429,625013,825198
2014,27045,34041,118173,175917,348808,471541,624504,826226
2015,27420,35905,124605,174494,357785,495016,637566,859701
2016,27206,38078,135408,173516,366445,512080,636916,854462
