1979,1913841
1980,1989841
1981,1977981
1982,1974797
1983,2019201
1984,2039369
1985,2086440
1986,2105361
1987,2123323
1988,2167999
1989,2150466
1990,2148463
1991,2169518
1992,2175613
1993,2268553
1994,2278994
1995,2312132
1996,2314690
1997,2314245
1998,2337256
1999,2391399
2000,2403351
2001,2416425
2002,2443387
2003,2448288
2004,2397615
2005,2448017
2006,2426264
2007,2423712
2008,2471984
2009,2437163
2010,2468435
2011,2515458
2012,2543279
2013,2596993
2014,2626418
2015,2712630
2016,2744248
