,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,3162567,3315027,3429237,3546301,3670654,3777404,3860003,4035155,4073113,4097383,4093802,4172988,4083751,4012510,3946853,3770049,3555346,3450000,3366388,3412562,3508096,3601094,3305565,3128246,3065474,3152345,3115391,3278804,3326388,3426309,3559857,3607440,3643570,3649184,3649184,3571901,3678641,3699552,3703278,3756531,3858426,4003780,3972775,3894191,3837113,3791386,3744999,3751141,3762809,3795762,3805648,4012658,3951461,3975871,4014258,4004393,4041738,4147997,4132735,4003587,3952444,3951454,3926486,3931208,3954725,3984294,3955377,3939295
1,3299863,3306360,3450008,3548477,3653661,3764469,3857934,3923917,4081641,4103414,4104163,4084896,4160703,4071602,3998118,3928418,3754179,3535546,3430838,3345777,3401442,3489276,3567411,3262329,3076817,3005595,3079357,3031462,3178511,3211427,3315535,3436005,3489139,3530264,3530264,3543520,3476794,3587714,3615305,3627905,3684924,3953336,3978057,3955183,3882132,3832267,3793945,3755827,3768112,3784001,3820582,3855407,4004674,3936139,3953063,3987032,3972124,4002215,4100756,4078797,3951024,3957695,3977264,3942441,3948689,3973189,4004017,3975252
2,3450042,3458209,3447304,3574323,3656495,3744444,3839092,3912759,3955569,4092616,4080463,4057693,4034016,4105855,4013585,3935365,3866725,3688418,3471495,3364853,3295270,3348331,3439449,3522332,3227239,3051605,2986220,3063419,3022264,3173548,3210169,3314474,3436728,3490553,3490553,3534437,3551533,3487636,3601784,3635067,3650190,3806523,3963541,3992724,3968620,3896142,3847031,3811084,3773397,3783695,3790446,3800096,3856114,4002836,3933735,3952632,3988119,3973479,4004146,4103002,4087074,4090616,3978648,3991295,3958296,3965536,3990991,4021775
3,3771883,3495214,3497803,3477405,3599983,3676466,3759958,3847648,3911814,3947785,4077609,4080156,4060410,4040638,4115310,4024448,3953247,3884351,3709110,3493737,3406502,3337236,3392093,3485898,3571284,3276743,3100598,3034854,3117040,3077017,3238099,3260929,3361224,3478505,3478505,3527196,3566160,3578320,3508776,3619632,3645954,3722775,3823718,3989373,4022773,4003956,3936378,3893717,3861808,3826501,3832799,3802710,3804336,3860727,4008220,3943215,3966022,4004011,3992320,4025675,4133855,4111682,3981321,3990699,4005424,3973376,3981326,4006755
4,2725600,3758637,3487906,3491830,3476664,3603530,3686410,3774329,3864465,3933920,3985212,4126537,4129913,4110926,4090999,4165561,4078477,4004194,3935584,3758584,3554881,3468031,3396835,3452041,3545915,3635195,3335549,3155120,3090801,3174581,3127524,3273871,3297168,3398377,3398377,3517851,3568493,3609279,3623062,3556285,3668564,3721632,3789950,3897804,4066224,4102754,4085919,4020902,3978797,3945585,3926323,3827346,3812607,3816873,3876609,4030128,3970880,3998260,4041170,4033457,4076132,4077326,4111444,3992298,4003684,4019335,3987866,3995783
5,2714560,2673394,3697873,3439101,3453939,3449161,3587147,3679934,3776286,3877965,3958677,3998349,4137071,4137064,4114053,4089460,4164778,4072240,3995171,3923088,3756969,3556777,3468940,3396993,3450079,3545888,3634324,3333554,3156246,3092294,3179868,3128726,3273883,3295766,3295766,3397284,3517699,3568272,3610115,3626544,3559366,3707078,3732466,3805253,3911606,4080906,4118615,4104267,4039711,3995596,3965103,3910033,3837187,3823568,3829607,3893128,4050582,3993489,4024297,4070265,4069577,4064480,4131048,4121794,4004373,4016658,4032787,4001318
6,2755636,2720557,2678521,3699058,3439355,3452324,3447168,3582421,3670427,3764441,3852247,3925679,3971329,4114451,4119428,4101067,4086431,4165426,4078802,4007178,3946319,3787320,3582479,3491086,3414384,3467501,3560219,3644207,3343315,3163905,3110507,3185857,3133165,3275929,3275929,3297294,3398444,3517951,3567922,3610681,3625414,3686288,3714856,3743247,3813700,3918857,4087823,4127495,4112475,4044949,4019705,3972508,3913054,3837761,3822089,3828153,3891329,4046402,3988117,4018200,4067657,4072889,4096654,4141144,4133300,4016732,4029444,4045532
7,2932959,2777810,2743435,2699180,3727076,3465773,3480478,3474852,3608923,3697523,3797917,3890068,3962111,4004689,4144687,4145207,4127481,4107922,4183649,4093268,4019585,3977564,3823954,3623683,3536215,3467426,3526690,3625593,3721084,3421248,3247691,3165379,3235675,3176388,3176388,3315974,3333327,3430419,3545782,3591759,3628223,3583698,3713396,3748730,3778668,3851996,3961111,4136887,4180115,4165859,4118147,4012049,3982360,3924182,3850646,3838840,3848758,3914743,4073291,4017024,4052622,4042967,4084201,4106863,4152751,4145829,4029700,4042379
8,2569056,2919475,2764331,2726494,2681218,3698230,3438169,3449670,3439532,3569753,3635589,3726338,3820035,3892608,3935856,4074807,4081690,4065534,4048616,4125569,4032394,3974264,3922524,3761820,3555210,3463857,3387656,3435855,3527457,3613454,3328772,3140834,3057900,3122449,3122449,3064081,3197941,3212175,3304508,3415937,3456623,3537332,3494500,3636925,3682989,3724335,3810244,3934297,4122785,4178894,4179230,4099542,4020970,3991075,3933161,3861877,3852265,3863089,3930544,4089946,4036621,4025495,4092669,4094674,4118570,4165408,4158968,4042838
9,2402326,2576394,2926644,2768580,2730119,2683429,3699221,3437541,3445744,3434413,3565587,3655512,3750578,3847088,3921848,3967031,4113116,4121978,4108108,4093622,4164170,4099362,4048928,4005252,3849313,3649460,3562384,3490526,3551925,3655724,3735515,3439325,3257322,3182719,3182719,3263292,3217446,3369581,3401931,3514381,3647167,3766734,3775886,3711801,3837716,3862077,3882737,3951086,4055242,4221162,4267320,4179230,4118846,4044265,4018734,3967069,3901754,3896888,3913353,3987064,4155932,4125317,4062842,4103296,4106389,4131317,4178605,4172171
