state,yr_txt,yr,usb,0-4,5-14,15-24,25-34,35-44,45-54,55-64,65-74,75-84,85p,
Alabama,94-98,1,1,50,49,80,168,352,299,235,266,334,136,
Alabama,99-03,2,1,46,20,46,92,221,216,162,163,162,108,
Alabama,04-08,3,1,25,15,36,76,86,145,145,92,100,45,
Alabama,09-13,4,1,28,6,21,52,41,111,105,75,62,39,
Alabama,14-18,5,1,24,9,21,48,55,63,100,56,50,20,
Alaska,94-98,1,1,22,27,36,68,72,43,30,14,13,6,
Alaska,99-03,2,1,24,16,21,25,54,35,26,27,11,8,
Alaska,04-08,3,1,15,10,18,16,40,55,28,17,11,0,
Alaska,09-13,4,1,11,14,34,20,33,54,37,17,12,0,
Alaska,14-18,5,1,14,28,24,38,20,52,39,21,5,0,
Arizona,94-98,1,1,43,33,33,70,144,150,110,116,105,64,
Arizona,99-03,2,1,61,23,34,46,91,116,93,90,79,30,
Arizona,04-08,3,1,86,26,29,33,78,82,75,48,59,26,
Arizona,09-13,4,1,31,13,41,41,41,63,55,34,34,18,
Arizona,14-18,5,1,23,15,26,29,21,29,41,38,21,23,
Arkansas,94-98,1,1,45,30,28,83,137,123,87,149,221,139,
Arkansas,99-03,2,1,27,21,29,45,92,102,83,79,120,76,
Arkansas,04-08,3,1,15,9,16,23,43,63,65,54,60,26,
Arkansas,09-13,4,1,0,6,12,25,36,36,48,40,39,24,
Arkansas,14-18,5,1,22,18,16,27,20,36,57,27,38,20,
California,94-98,1,1,863,346,399,920,1391,1090,751,701,516,191,
California,99-03,2,1,502,258,347,390,721,776,516,403,340,104,
California,04-08,3,1,395,200,370,305,433,559,379,268,258,109,
California,09-13,4,1,291,152,358,329,260,340,358,168,177,87,
California,14-18,5,1,176,127,368,321,166,218,249,166,112,70,
Colorado,94-98,1,1,7,0,6,26,43,40,23,41,44,24,
Colorado,99-03,2,1,30,7,5,8,28,30,28,31,20,10,
Colorado,04-08,3,1,22,7,12,9,21,26,20,24,31,15,
Colorado,09-13,4,1,13,0,10,6,11,14,15,11,9,0,
Colorado,14-18,5,1,6,0,0,6,7,8,15,8,11,6,
Connecticut,94-98,1,1,0,7,16,42,85,70,39,52,40,16,
Connecticut,99-03,2,1,5,6,11,21,35,33,26,22,30,22,
Connecticut,04-08,3,1,0,0,9,10,21,35,23,15,15,19,
Connecticut,09-13,4,1,5,0,7,6,8,18,11,9,10,7,
Connecticut,14-18,5,1,0,0,7,6,0,7,11,10,7,0,
Delaware,94-98,1,1,11,11,0,17,17,23,15,19,20,7,
Delaware,99-03,2,1,0,0,0,5,10,10,7,17,12,0,
Delaware,04-08,3,1,0,0,0,6,0,7,7,0,10,9,
Delaware,09-13,4,1,0,0,0,0,8,0,0,0,7,0,
Delaware,14-18,5,1,0,0,0,0,5,10,0,5,5,0,
District of Columbia,94-98,1,1,8,0,9,70,105,100,58,39,29,17,
District of Columbia,99-03,2,1,6,0,8,27,50,73,45,25,21,6,
District of Columbia,04-08,3,1,9,0,5,16,24,51,33,13,15,0,
District of Columbia,09-13,4,1,0,0,7,10,9,19,20,8,11,0,
District of Columbia,14-18,5,1,0,0,0,7,6,8,8,10,5,8,
Florida,94-98,1,1,160,63,190,727,1357,1025,681,543,422,147,
Florida,99-03,2,1,115,62,132,326,854,844,450,295,228,92,
Florida,04-08,3,1,158,51,147,241,498,738,422,253,182,68,
Florida,09-13,4,1,96,47,123,159,268,456,350,157,121,57,
Florida,14-18,5,1,50,32,84,131,137,236,265,140,86,44,
Georgia,94-98,1,1,183,72,159,445,729,534,362,285,206,106,
Georgia,99-03,2,1,143,46,119,264,485,512,257,188,150,55,
Georgia,04-08,3,1,123,39,127,145,273,324,221,127,102,41,
Georgia,09-13,4,1,68,31,75,114,128,254,174,91,61,26,
Georgia,14-18,5,1,50,33,50,92,102,147,161,79,42,23,
Hawaii,94-98,1,1,10,0,11,10,18,32,31,55,42,15,
Hawaii,99-03,2,1,0,0,6,10,10,16,14,26,29,13,
Hawaii,04-08,3,1,0,0,5,0,8,11,16,18,21,8,
Hawaii,09-13,4,1,5,0,8,5,0,10,12,12,18,8,
Hawaii,14-18,5,1,8,5,15,7,0,6,8,8,11,9,
Idaho,94-98,1,1,0,0,0,0,13,5,7,0,0,0,
Idaho,99-03,2,1,0,0,0,0,5,6,0,0,0,5,
Idaho,04-08,3,1,0,0,0,0,0,6,5,7,0,5,
Idaho,09-13,4,1,0,0,0,0,0,11,0,0,6,0,
Idaho,14-18,5,1,0,0,0,0,0,0,0,0,0,0,
Illinois,94-98,1,1,191,113,232,524,878,640,403,378,268,137,
Illinois,99-03,2,1,106,68,151,231,450,412,255,208,187,91,
Illinois,04-08,3,1,68,42,88,130,207,277,164,126,112,43,
Illinois,09-13,4,1,33,17,63,69,71,137,111,58,66,38,
Illinois,14-18,5,1,35,10,41,50,48,66,95,47,41,26,
Indiana,94-98,1,1,30,21,29,65,97,120,127,134,126,68,
Indiana,99-03,2,1,27,6,20,34,75,71,69,63,67,43,
Indiana,04-08,3,1,18,11,26,32,45,85,50,43,48,26,
Indiana,09-13,4,1,7,11,8,21,34,58,60,31,30,12,
Indiana,14-18,5,1,10,0,15,21,22,32,43,24,21,14,
Iowa,94-98,1,1,0,0,8,10,32,27,30,28,34,12,
Iowa,99-03,2,1,0,0,0,0,7,11,11,17,18,0,
Iowa,04-08,3,1,0,0,9,5,11,22,11,7,10,5,
Iowa,09-13,4,1,0,0,5,7,7,13,10,6,0,0,
Iowa,14-18,5,1,0,0,0,0,0,13,10,0,0,0,
Kansas,94-98,1,1,14,5,10,25,29,23,16,26,36,24,
Kansas,99-03,2,1,15,7,7,18,39,27,23,17,18,5,
Kansas,04-08,3,1,9,6,7,7,25,30,13,10,15,5,
Kansas,09-13,4,1,8,0,0,7,12,10,19,9,5,5,
Kansas,14-18,5,1,0,0,0,0,7,8,8,5,6,0,
Kentucky,94-98,1,1,41,27,41,79,140,150,173,175,227,151,
Kentucky,99-03,2,1,16,8,20,43,104,97,97,92,102,76,
Kentucky,04-08,3,1,0,7,20,28,46,80,57,54,62,29,
Kentucky,09-13,4,1,0,0,6,16,25,47,49,32,27,21,
Kentucky,14-18,5,1,5,0,8,11,14,31,38,29,24,11,
Louisiana,94-98,1,1,65,49,99,240,440,345,268,214,157,80,
Louisiana,99-03,2,1,43,32,64,145,264,293,183,151,102,35,
Louisiana,04-08,3,1,32,24,83,115,161,275,156,85,59,8,
Louisiana,09-13,4,1,31,6,55,74,105,163,124,63,35,17,
Louisiana,14-18,5,1,9,10,25,45,54,77,107,51,20,10,
Maine,94-98,1,1,0,0,0,9,7,6,10,18,22,6,
Maine,99-03,2,1,0,0,0,0,9,15,6,13,10,7,
Maine,04-08,3,1,0,0,0,0,0,8,5,6,0,0,
Maine,09-13,4,1,0,0,0,0,0,0,5,0,6,7,
Maine,14-18,5,1,0,0,0,0,0,0,0,0,0,0,
Maryland,94-98,1,1,47,26,47,99,180,141,113,159,146,58,
Maryland,99-03,2,1,35,12,32,50,104,112,72,76,99,33,
Maryland,04-08,3,1,28,9,34,34,56,107,71,49,74,20,
Maryland,09-13,4,1,25,16,26,24,30,50,45,26,26,17,
Maryland,14-18,5,1,17,0,17,23,16,37,25,25,17,14,
Massachusetts,94-98,1,1,34,10,23,49,99,77,70,77,82,35,
Massachusetts,99-03,2,1,21,13,16,38,44,64,51,45,41,13,
Massachusetts,04-08,3,1,17,9,20,28,41,56,46,20,36,16,
Massachusetts,09-13,4,1,16,0,24,22,26,25,28,18,23,11,
Massachusetts,14-18,5,1,11,12,9,17,16,16,20,17,13,0,
Michigan,94-98,1,1,64,42,91,185,353,278,198,223,228,81,
Michigan,99-03,2,1,49,26,63,91,154,198,126,115,121,47,
Michigan,04-08,3,1,34,17,47,74,81,157,99,65,74,41,
Michigan,09-13,4,1,16,0,37,25,42,76,76,43,30,31,
Michigan,14-18,5,1,10,5,19,13,25,30,49,44,22,18,
Minnesota,94-98,1,1,18,12,12,28,58,39,31,32,36,28,
Minnesota,99-03,2,1,34,10,14,18,30,43,21,20,15,16,
Minnesota,04-08,3,1,36,18,16,14,25,32,18,18,16,0,
Minnesota,09-13,4,1,14,18,16,14,12,9,17,15,9,6,
Minnesota,14-18,5,1,25,25,12,11,8,15,17,10,6,6,
Mississippi,94-98,1,1,50,31,52,119,207,175,155,173,161,94,
Mississippi,99-03,2,1,27,24,29,60,112,140,85,90,121,47,
Mississippi,04-08,3,1,14,19,27,43,84,127,73,44,63,27,
Mississippi,09-13,4,1,9,7,12,31,60,93,90,46,34,21,
Mississippi,14-18,5,1,0,6,15,29,29,50,58,34,39,19,
Missouri,94-98,1,1,26,12,24,97,155,148,101,142,171,91,
Missouri,99-03,2,1,17,24,17,51,108,108,71,88,100,41,
Missouri,04-08,3,1,15,0,19,30,41,66,45,37,51,30,
Missouri,09-13,4,1,12,0,9,23,20,44,47,23,27,19,
Missouri,14-18,5,1,9,0,11,17,26,24,32,31,23,11,
Montana,94-98,1,1,0,0,0,8,8,13,19,17,15,5,
Montana,99-03,2,1,0,0,0,8,8,19,13,6,9,0,
Montana,04-08,3,1,0,0,0,0,5,9,9,5,9,0,
Montana,09-13,4,1,0,0,0,0,0,0,9,0,0,0,
Montana,14-18,5,1,0,0,0,0,0,0,6,7,0,0,
Nebraska,94-98,1,1,0,0,0,9,7,9,8,17,12,5,
Nebraska,99-03,2,1,7,0,6,5,7,7,6,5,6,5,
Nebraska,04-08,3,1,8,0,0,0,0,7,8,0,0,0,
Nebraska,09-13,4,1,0,0,5,5,0,0,6,0,0,0,
Nebraska,14-18,5,1,0,0,0,0,0,0,0,6,0,0,
Nevada,94-98,1,1,19,11,10,29,67,56,54,42,21,9,
Nevada,99-03,2,1,10,0,5,16,28,42,44,18,13,5,
Nevada,04-08,3,1,16,7,18,12,15,33,39,18,10,0,
Nevada,09-13,4,1,40,7,13,10,10,21,23,15,11,0,
Nevada,14-18,5,1,12,0,13,10,13,12,17,10,5,0,
New Hampshire,94-98,1,1,0,0,0,0,7,10,11,9,14,0,
New Hampshire,99-03,2,1,0,0,0,0,0,0,7,0,6,0,
New Hampshire,04-08,3,1,0,0,0,0,0,0,5,5,0,0,
New Hampshire,09-13,4,1,0,0,0,0,0,0,0,0,0,0,
New Hampshire,14-18,5,1,0,0,0,0,0,0,0,0,0,0,
New Jersey,94-98,1,1,112,78,106,333,564,358,219,216,191,67,
New Jersey,99-03,2,1,65,31,39,91,198,195,108,121,106,51,
New Jersey,04-08,3,1,56,31,46,53,104,124,92,64,64,29,
New Jersey,09-13,4,1,38,26,34,22,40,70,65,60,46,26,
New Jersey,14-18,5,1,33,17,22,23,21,35,32,41,30,13,
New Mexico,94-98,1,1,17,6,5,23,31,25,33,63,53,22,
New Mexico,99-03,2,1,0,7,7,13,23,25,24,19,28,29,
New Mexico,04-08,3,1,0,0,6,6,14,19,19,25,19,9,
New Mexico,09-13,4,1,0,0,0,6,15,20,19,15,21,17,
New Mexico,14-18,5,1,0,0,0,5,7,21,11,11,13,0,
New York,94-98,1,1,325,176,296,1283,2048,1369,753,626,426,177,
New York,99-03,2,1,161,94,152,326,664,596,417,294,253,82,
New York,04-08,3,1,112,56,138,174,313,363,276,162,155,66,
New York,09-13,4,1,64,40,87,96,113,180,157,111,79,53,
New York,14-18,5,1,49,26,81,73,71,81,117,81,57,27,
North Carolina,94-98,1,1,67,29,74,243,409,366,269,340,317,146,
North Carolina,99-03,2,1,57,23,60,121,298,287,214,188,207,99,
North Carolina,04-08,3,1,75,21,65,111,171,213,158,115,141,56,
North Carolina,09-13,4,1,55,15,47,61,87,133,104,80,75,38,
North Carolina,14-18,5,1,30,15,39,43,63,92,100,52,60,26,
North Dakota,94-98,1,1,0,0,0,0,0,0,0,8,0,5,
North Dakota,99-03,2,1,0,0,0,0,0,0,0,7,5,0,
North Dakota,04-08,3,1,0,0,0,0,0,5,0,0,0,0,
North Dakota,09-13,4,1,0,0,6,0,0,8,0,0,0,0,
North Dakota,14-18,5,1,0,0,5,0,0,7,6,0,0,0,
Ohio,94-98,1,1,35,30,29,98,169,147,141,186,230,106,
Ohio,99-03,2,1,31,14,35,62,148,173,139,144,177,83,
Ohio,04-08,3,1,22,14,46,50,95,126,86,77,109,49,
Ohio,09-13,4,1,8,6,22,28,41,84,56,53,52,44,
Ohio,14-18,5,1,5,5,16,21,28,49,52,37,43,21,
Oklahoma,94-98,1,1,46,40,32,97,145,146,127,114,126,66,
Oklahoma,99-03,2,1,68,22,50,79,131,121,92,69,78,34,
Oklahoma,04-08,3,1,56,23,25,50,72,116,99,49,36,18,
Oklahoma,09-13,4,1,27,12,21,30,18,60,72,33,26,7,
Oklahoma,14-18,5,1,9,8,15,8,22,29,36,26,21,0,
Oregon,94-98,1,1,22,11,22,59,71,78,61,46,51,11,
Oregon,99-03,2,1,14,6,11,29,32,53,34,24,22,8,
Oregon,04-08,3,1,5,0,10,16,28,28,27,11,7,9,
Oregon,09-13,4,1,6,0,13,10,10,32,17,12,6,5,
Oregon,14-18,5,1,8,0,11,15,15,16,23,14,5,0,
Pennsylvania,94-98,1,1,89,62,68,229,374,307,279,340,364,144,
Pennsylvania,99-03,2,1,30,22,38,83,188,190,149,155,208,93,
Pennsylvania,04-08,3,1,39,33,41,56,80,138,122,105,139,58,
Pennsylvania,09-13,4,1,15,7,24,37,43,98,87,60,66,45,
Pennsylvania,14-18,5,1,6,5,14,29,25,57,71,38,54,24,
Rhode Island,94-98,1,1,20,5,0,7,12,7,11,15,12,6,
Rhode Island,99-03,2,1,9,0,0,0,12,14,17,16,13,5,
Rhode Island,04-08,3,1,0,0,0,6,7,7,8,0,10,5,
Rhode Island,09-13,4,1,5,0,0,5,0,0,0,0,8,0,
Rhode Island,14-18,5,1,0,0,0,0,0,0,0,0,0,0,
South Carolina,94-98,1,1,64,34,66,154,324,297,226,196,166,54,
South Carolina,99-03,2,1,40,33,53,119,241,252,167,149,117,44,
South Carolina,04-08,3,1,53,20,53,76,139,197,155,87,66,43,
South Carolina,09-13,4,1,27,22,22,66,58,106,80,62,50,26,
South Carolina,14-18,5,1,13,16,15,24,36,64,89,46,32,19,
South Dakota,94-98,1,1,0,0,0,6,12,25,16,19,9,0,
South Dakota,99-03,2,1,0,0,0,6,7,10,13,13,12,0,
South Dakota,04-08,3,1,0,0,0,0,6,5,11,0,6,5,
South Dakota,09-13,4,1,0,0,6,5,5,9,8,5,6,0,
South Dakota,14-18,5,1,0,0,5,0,0,9,9,7,0,0,
Tennessee,94-98,1,1,66,22,87,226,354,300,236,311,397,210,
Tennessee,99-03,2,1,47,19,66,151,255,220,189,162,211,105,
Tennessee,04-08,3,1,46,18,56,87,149,231,133,100,137,77,
Tennessee,09-13,4,1,34,17,35,47,72,118,99,60,52,38,
Tennessee,14-18,5,1,17,8,21,34,35,54,70,49,37,29,
Texas,94-98,1,1,449,239,474,1160,1699,1182,843,683,430,189,
Texas,99-03,2,1,320,123,290,497,953,1055,558,400,269,87,
Texas,04-08,3,1,308,127,346,404,691,971,569,309,214,76,
Texas,09-13,4,1,287,114,339,316,414,611,555,236,144,50,
Texas,14-18,5,1,193,97,248,292,302,441,479,242,110,44,
Utah,94-98,1,1,7,0,5,17,31,30,18,20,11,5,
Utah,99-03,2,1,0,0,10,8,8,21,12,7,6,0,
Utah,04-08,3,1,0,0,6,0,5,11,8,0,0,0,
Utah,09-13,4,1,5,0,5,7,0,0,5,5,0,0,
Utah,14-18,5,1,6,0,0,0,0,0,5,0,0,0,
Vermont,94-98,1,1,0,0,0,0,0,0,6,0,5,0,
Vermont,99-03,2,1,0,0,0,0,0,0,0,0,0,0,
Vermont,04-08,3,1,0,0,0,0,0,0,0,0,0,0,
Vermont,09-13,4,1,0,0,0,0,0,0,0,0,0,0,
Vermont,14-18,5,1,0,0,0,0,0,0,0,0,0,0,
Virginia,94-98,1,1,25,17,28,94,144,148,129,152,200,100,
Virginia,99-03,2,1,40,9,30,44,81,117,107,78,94,50,
