,1950,1960,1970,1980,1990,2000,2010
0-4,5.043825403,5.036450553,5.028345135,5.018592378,5.013871617,5.010040626,5.009282312
5-14,10.02635556,10.0191185,10.01690265,10.01204096,10.00986005,10.0076544,10.00555413
15-24,10.06085214,10.05208181,10.0630506,10.05397984,10.04706291,10.03997802,10.03772183
25-34,10.08415247,10.0670413,10.07318361,10.061052,10.06489092,10.0491065,10.0472366
35-44,10.1765659,10.14393428,10.14947551,10.11161394,10.10660694,10.09534533,10.08521187
45-54,10.42552859,10.37414902,10.35788947,10.28210626,10.23722826,10.21134504,10.2053747
55-64,10.99363076,10.88170598,10.84419606,10.67876452,10.59738895,10.51357835,10.44140999
65-74,12.36313411,12.10415029,11.97549797,11.60798934,11.42886463,11.26858517,11.05833213
75-84,16.91820422,16.37812368,15.53765124,14.2952728,13.8088657,13.56079812,13.06290199
85-94,36.93690249,41.20358456,30.14801738,25.08919676,23.88995095,23.17959184,23.21395941
