State,Percent,n,N
Alabama,94.3,215,228
Alaska,95.8,23,24
Arizona,72.3,60,83
Arkansas,84.4,27,32
California,74,641,866
Colorado,96.4,54,56
Connecticut,57.1,20,35
Delaware,100,5,5
DistrictofColumbia,83.3,10,12
Florida,67.5,183,271
Georgia,70.8,167,236
Hawaii,86.2,50,58
Idaho,100,3,3
Illinois,83.3,50,60
Indiana,83.9,215,256
Iowa,80,16,20
Kansas,95.8,69,72
Kentucky,54,27,50
Louisiana,76.3,45,59
Maine,61.5,16,26
Maryland,75,66,88
Massachusetts,58.9,23,39
Michigan,90.5,38,42
Minnesota,82.3,51,62
Mississippi,90.8,109,120
Missouri,71.4,25,35
Montana,83.3,5,6
Nebraska,45.5,10,22
Nevada,95.5,42,44
NewHampshire,66.7,2,3
NewJersey,87.2,130,149
NewMexico,92.5,37,40
NewYork,74.6,91,122
NorthCarolina,74.1,197,266
NorthDakota,100,12,12
Ohio,80.4,41,51
Oklahoma,75,12,16
Oregon,92.5,37,40
Pennsylvania,70.1,47,67
RhodeIsland,77.1,37,48
SouthCarolina,87.6,92,105
SouthDakota,90.4,47,52
Tennessee,68.3,28,41
Texas,60.8,401,659
Utah,75.4,46,61
Vermont,100,15,15
Virginia,85.8,127,148
Washington,64.9,24,37
WestVirginia,50,1,2
Wisconsin,77.5,31,40
Wyoming,88.9,8,9
