State,Percent,n,N
Alabama,93.80,105,112
Alaska,94.40,51,54
Arizona,86.90,113,130
Arkansas,76.30,61,80
California,87.30,869,995
Colorado,96.20,50,52
Connecticut,98.00,50,51
Delaware,85.00,17,20
DistrictofColumbia,92.60,25,27
Florida,92.90,471,507
Georgia,89.40,252,282
Hawaii,98.30,119,121
Idaho,75.00,6,8
Illinois,89.40,127,142
Indiana,92.30,84,91
Iowa,90.70,39,43
Kansas,94.30,33,35
Kentucky,95.20,59,62
Louisiana,79.60,82,103
Maine,78.60,11,14
Maryland,90.30,131,145
Massachusetts,89.00,145,163
Michigan,95.40,83,87
Minnesota,92.60,113,122
Mississippi,81.70,49,60
Missouri,69.20,45,65
Montana,100.00,3,3
Nebraska,68.60,24,35
Nevada,93.90,62,66
NewHampshire,100.00,10,10
NewJersey,92.60,226,244
NewMexico,94.30,33,35
NewYork,92.20,154,167
NorthCarolina,97.50,155,159
NorthDakota,58.30,7,12
Ohio,90.90,110,121
Oklahoma,94.30,50,53
Oregon,94.80,55,58
Pennsylvania,89.40,93,104
RhodeIsland,88.20,15,17
SouthCarolina,95.40,62,65
SouthDakota,80.00,4,5
Tennessee,95.30,122,128
Texas,89.10,786,882
Utah,100.00,23,23
Vermont,100.00,2,2
Virginia,95.90,163,170
Washington,91.10,154,169
WestVirginia,91.70,11,12
Wisconsin,89.50,34,38
Wyoming,100.00,2,2
